fault_links,fault_count,returncode,output_dir,python_time_sec,cplex_time_sec,lmax_sum,inspection_time_sec,total_time_sec
"1-5,2-3",2,0,batch_output/f_1-5__2-3,1.736,0.850,7278.000,0.036390,2.622
"1-5,2-5",2,0,batch_output/f_1-5__2-5,2.283,0.990,13436.000,0.067180,3.340
"1-5,2-8",2,0,batch_output/f_1-5__2-8,2.041,0.960,11400.000,0.057000,3.058
"1-5,3-5",2,0,batch_output/f_1-5__3-5,2.406,0.980,14424.000,0.072120,3.459
"1-5,3-6",2,0,batch_output/f_1-5__3-6,2.004,0.990,13324.000,0.066620,3.060
"1-5,3-7",2,0,batch_output/f_1-5__3-7,1.648,0.830,7278.000,0.036390,2.515
"1-5,3-8",2,0,batch_output/f_1-5__3-8,1.988,0.980,13324.000,0.066620,3.035
"1-5,4-6",2,0,batch_output/f_1-5__4-6,2.086,1.000,13246.000,0.066230,3.152
"1-5,4-7",2,0,batch_output/f_1-5__4-7,1.814,0.960,9018.000,0.045090,2.819
"1-5,4-8",2,0,batch_output/f_1-5__4-8,1.803,0.960,9018.000,0.045090,2.809
"1-5,4-9",2,0,batch_output/f_1-5__4-9,1.865,0.990,9018.000,0.045090,2.900
"1-5,4-10",2,0,batch_output/f_1-5__4-10,2.121,1.010,13246.000,0.066230,3.197
"1-5,5-6",2,0,batch_output/f_1-5__5-6,1.465,0.820,4724.000,0.023620,2.308
"1-5,5-11",2,0,batch_output/f_1-5__5-11,2.493,1.020,15472.000,0.077360,3.591
"1-5,6-9",2,0,batch_output/f_1-5__6-9,1.464,0.820,4724.000,0.023620,2.307
"1-5,7-8",2,0,batch_output/f_1-5__7-8,2.062,1.020,13324.000,0.066620,3.149
"1-5,7-10",2,0,batch_output/f_1-5__7-10,1.678,0.820,7930.000,0.039650,2.538
"1-5,9-10",2,0,batch_output/f_1-5__9-10,1.677,0.830,7930.000,0.039650,2.546
"1-5,9-11",2,0,batch_output/f_1-5__9-11,1.830,0.940,9018.000,0.045090,2.815
"1-5,10-11",2,0,batch_output/f_1-5__10-11,2.026,1.000,13246.000,0.066230,3.092
"1-6,1-7",2,0,batch_output/f_1-6__1-7,1.828,1.020,11806.000,0.059030,2.907
"1-6,1-9",2,0,batch_output/f_1-6__1-9,1.514,0.820,6412.000,0.032060,2.367
"1-6,1-11",2,0,batch_output/f_1-6__1-11,1.904,1.000,11728.000,0.058640,2.963
"1-6,2-3",2,0,batch_output/f_1-6__2-3,1.531,0.830,5760.000,0.028800,2.389
"1-6,2-5",2,0,batch_output/f_1-6__2-5,2.075,0.980,11918.000,0.059590,3.114
"1-6,2-8",2,0,batch_output/f_1-6__2-8,1.834,0.960,9882.000,0.049410,2.844
