network,fault_links,fault_count,total_inspection_count,output_dir
cost239-1,1-9;2-8,2,18,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__2-8
cost239-1,1-9;3-5,2,24,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__3-5
cost239-1,1-9;3-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__3-6
cost239-1,1-9;3-7,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__3-7
cost239-1,1-9;3-8,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__3-8
cost239-1,1-9;4-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__4-6
cost239-1,1-9;4-7,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__4-7
cost239-1,1-9;4-8,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__4-8
cost239-1,1-9;4-9,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__4-9
cost239-1,1-9;4-10,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__4-10
cost239-1,1-9;5-6,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__5-6
cost239-1,1-9;5-11,2,24,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__5-11
cost239-1,1-9;6-9,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__6-9
cost239-1,1-9;7-8,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__7-8
cost239-1,1-9;7-10,2,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__7-10
cost239-1,1-9;9-10,2,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__9-10
cost239-1,1-9;9-11,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__9-11
cost239-1,1-9;10-11,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-9__10-11
cost239-1,1-11;2-3,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__2-3
cost239-1,1-11;2-5,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__2-5
cost239-1,1-11;2-8,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__2-8
cost239-1,1-11;3-5,2,22,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__3-5
cost239-1,1-11;3-6,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__3-6
cost239-1,1-11;3-7,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__3-7
cost239-1,1-11;3-8,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__3-8
cost239-1,1-11;4-6,2,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__4-6
cost239-1,1-11;4-7,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__4-7
cost239-1,1-11;4-8,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__4-8
cost239-1,1-11;4-9,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__4-9
cost239-1,1-11;4-10,2,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__4-10
cost239-1,1-11;5-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__5-6
cost239-1,1-11;5-11,2,22,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__5-11
cost239-1,1-11;6-9,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__6-9
cost239-1,1-11;7-8,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__7-8
cost239-1,1-11;7-10,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__7-10
cost239-1,1-11;9-10,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__9-10
cost239-1,1-11;9-11,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__9-11
cost239-1,1-11;10-11,2,11,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_1-11__10-11
cost239-1,2-3;2-5,2,23,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__2-5
cost239-1,2-3;2-8,2,18,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__2-8
cost239-1,2-3;3-5,2,24,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__3-5
cost239-1,2-3;3-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__3-6
cost239-1,2-3;3-7,2,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__3-7
cost239-1,2-3;3-8,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__3-8
cost239-1,2-3;4-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__4-6
cost239-1,2-3;4-7,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__4-7
cost239-1,2-3;4-8,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__4-8
cost239-1,2-3;4-9,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__4-9
cost239-1,2-3;4-10,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__4-10
cost239-1,2-3;5-6,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__5-6
cost239-1,2-3;5-11,2,24,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__5-11
cost239-1,2-3;6-9,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__6-9
cost239-1,2-3;7-8,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__7-8
cost239-1,2-3;7-10,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__7-10
cost239-1,2-3;9-10,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__9-10
cost239-1,2-3;9-11,2,19,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__9-11
cost239-1,10-11;2-3,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-3__10-11
cost239-1,2-5;2-8,2,14,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__2-8
cost239-1,2-5;3-5,2,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__3-5
cost239-1,2-5;3-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__3-6
cost239-1,2-5;3-7,2,23,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__3-7
cost239-1,2-5;3-8,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__3-8
cost239-1,2-5;4-6,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__4-6
cost239-1,2-5;4-7,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__4-7
cost239-1,2-5;4-8,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__4-8
cost239-1,2-5;4-9,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__4-9
cost239-1,2-5;4-10,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__4-10
cost239-1,2-5;5-6,2,23,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__5-6
cost239-1,2-5;5-11,2,13,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__5-11
cost239-1,2-5;6-9,2,23,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__6-9
cost239-1,2-5;7-8,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__7-8
cost239-1,2-5;7-10,2,23,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__7-10
cost239-1,2-5;9-10,2,23,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__9-10
cost239-1,2-5;9-11,2,17,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__9-11
cost239-1,10-11;2-5,2,21,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-5__10-11
cost239-1,2-8;3-5,2,15,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8__3-5
cost239-1,2-8;3-6,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8__3-6
cost239-1,2-8;3-7,2,18,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8__3-7
cost239-1,2-8;3-8,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8__3-8
cost239-1,2-8;4-6,2,16,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8__4-6
cost239-1,2-8;4-7,2,12,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8__4-7
cost239-1,2-8;4-8,2,12,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8__4-8
cost239-1,2-8;4-9,2,12,/home/taga.ippei.py/work/autorun_for_multi3/batch_output/f_2-8__4-9
